EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,Unnamed: 31
NSE,D,55184,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-19500-PE,NIFTY 30 JUN 19500 PUT,OP,,65.0,2026-06-30,19500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,32.45,0.05,
NSE,D,55185,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-22500-CE,NIFTY 30 JUN 22500 CALL,OP,,65.0,2026-06-30,22500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,1687.75,925.35,
NSE,D,55186,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-22500-PE,NIFTY 30 JUN 22500 PUT,OP,,65.0,2026-06-30,22500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,944.2,506.7,
NSE,D,55187,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27650-PE,NIFTY 13 APR 27650 PUT,OP,,65.0,2026-04-13,27650.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5499.55,4299.75,
NSE,D,55188,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-25500-CE,NIFTY 30 JUN 25500 CALL,OP,,65.0,2026-06-30,25500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,210.1,69.0,
NSE,D,55189,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-25500-PE,NIFTY 30 JUN 25500 PUT,OP,,65.0,2026-06-30,25500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,3027.65,1968.95,
NSE,D,55190,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-28500-CE,NIFTY 30 JUN 28500 CALL,OP,,65.0,2026-06-30,28500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,39.6,0.05,
NSE,D,55191,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-28500-PE,NIFTY 30 JUN 28500 PUT,OP,,65.0,2026-06-30,28500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5860.6,4667.1,
NSE,D,55192,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27700-CE,NIFTY 13 APR 27700 CALL,OP,,65.0,2026-04-13,27700.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55193,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27700-PE,NIFTY 13 APR 27700 PUT,OP,,65.0,2026-04-13,27700.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5549.5,4349.7,
NSE,D,55200,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27750-CE,NIFTY 13 APR 27750 CALL,OP,,65.0,2026-04-13,27750.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55201,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27750-PE,NIFTY 13 APR 27750 PUT,OP,,65.0,2026-04-13,27750.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5599.45,4399.65,
NSE,D,55202,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27800-CE,NIFTY 13 APR 27800 CALL,OP,,65.0,2026-04-13,27800.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55203,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27800-PE,NIFTY 13 APR 27800 PUT,OP,,65.0,2026-04-13,27800.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5649.35,4449.55,
NSE,D,55204,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27850-CE,NIFTY 13 APR 27850 CALL,OP,,65.0,2026-04-13,27850.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55205,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27850-PE,NIFTY 13 APR 27850 PUT,OP,,65.0,2026-04-13,27850.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5699.3,4499.5,
NSE,D,55206,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27900-CE,NIFTY 13 APR 27900 CALL,OP,,65.0,2026-04-13,27900.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
