SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35077,OPTIDX,0,NIFTYNXT50-May2026-82300-PE,25.0,NIFTYNXT50 26 MAY 82300 PUT,2026-05-26 14:30:00,82300.0,PE,5.0,M,OP,,
NSE,D,35078,OPTIDX,0,NIFTYNXT50-May2026-82400-CE,25.0,NIFTYNXT50 26 MAY 82400 CALL,2026-05-26 14:30:00,82400.0,CE,5.0,M,OP,,
NSE,D,35079,OPTIDX,0,NIFTYNXT50-May2026-82400-PE,25.0,NIFTYNXT50 26 MAY 82400 PUT,2026-05-26 14:30:00,82400.0,PE,5.0,M,OP,,
NSE,D,35080,OPTIDX,0,NIFTYNXT50-May2026-100500-CE,25.0,NIFTYNXT50 26 MAY 100500 CALL,2026-05-26 14:30:00,100500.0,CE,5.0,M,OP,,
NSE,D,35081,OPTIDX,0,NIFTYNXT50-May2026-100500-PE,25.0,NIFTYNXT50 26 MAY 100500 PUT,2026-05-26 14:30:00,100500.0,PE,5.0,M,OP,,
NSE,D,35084,OPTIDX,0,FINNIFTY-Jun2026-29700-CE,60.0,FINNIFTY 30 JUN 29700 CALL,2026-06-30 14:30:00,29700.0,CE,5.0,M,OP,,
NSE,D,35085,OPTIDX,0,FINNIFTY-Jun2026-29700-PE,60.0,FINNIFTY 30 JUN 29700 PUT,2026-06-30 14:30:00,29700.0,PE,5.0,M,OP,,
NSE,D,35086,OPTIDX,0,FINNIFTY-Jun2026-29800-CE,60.0,FINNIFTY 30 JUN 29800 CALL,2026-06-30 14:30:00,29800.0,CE,5.0,M,OP,,
NSE,D,35087,OPTIDX,0,FINNIFTY-Jun2026-29800-PE,60.0,FINNIFTY 30 JUN 29800 PUT,2026-06-30 14:30:00,29800.0,PE,5.0,M,OP,,
NSE,D,35094,OPTIDX,0,FINNIFTY-Jun2026-29900-CE,60.0,FINNIFTY 30 JUN 29900 CALL,2026-06-30 14:30:00,29900.0,CE,5.0,M,OP,,
NSE,D,35095,OPTIDX,0,FINNIFTY-Jun2026-29900-PE,60.0,FINNIFTY 30 JUN 29900 PUT,2026-06-30 14:30:00,29900.0,PE,5.0,M,OP,,
NSE,D,35096,OPTIDX,0,FINNIFTY-Jun2026-33000-CE,60.0,FINNIFTY 30 JUN 33000 CALL,2026-06-30 14:30:00,33000.0,CE,5.0,M,OP,,
NSE,D,35097,OPTIDX,0,FINNIFTY-Jun2026-33000-PE,60.0,FINNIFTY 30 JUN 33000 PUT,2026-06-30 14:30:00,33000.0,PE,5.0,M,OP,,
NSE,D,35102,OPTIDX,0,MIDCPNIFTY-Jun2026-14425-CE,120.0,MIDCPNIFTY 30 JUN 14425 CALL,2026-06-30 14:30:00,14425.0,CE,5.0,M,OP,,
NSE,D,35103,OPTIDX,0,MIDCPNIFTY-Jun2026-14425-PE,120.0,MIDCPNIFTY 30 JUN 14425 PUT,2026-06-30 14:30:00,14425.0,PE,5.0,M,OP,,
NSE,D,35104,OPTIDX,0,MIDCPNIFTY-Jun2026-14450-CE,120.0,MIDCPNIFTY 30 JUN 14450 CALL,2026-06-30 14:30:00,14450.0,CE,5.0,M,OP,,
NSE,D,35105,OPTIDX,0,MIDCPNIFTY-Jun2026-14450-PE,120.0,MIDCPNIFTY 30 JUN 14450 PUT,2026-06-30 14:30:00,14450.0,PE,5.0,M,OP,,
NSE,D,35106,OPTIDX,0,MIDCPNIFTY-Jun2026-14475-CE,120.0,MIDCPNIFTY 30 JUN 14475 CALL,2026-06-30 14:30:00,14475.0,CE,5.0,M,OP,,
NSE,D,35107,OPTIDX,0,MIDCPNIFTY-Jun2026-14475-PE,120.0,MIDCPNIFTY 30 JUN 14475 PUT,2026-06-30 14:30:00,14475.0,PE,5.0,M,OP,,
NSE,D,35108,OPTIDX,0,MIDCPNIFTY-Jun2026-14525-CE,120.0,MIDCPNIFTY 30 JUN 14525 CALL,2026-06-30 14:30:00,14525.0,CE,5.0,M,OP,,
NSE,D,35109,OPTIDX,0,MIDCPNIFTY-Apr2026-15425-CE,120.0,MIDCPNIFTY 28 APR 15425 CALL,2026-04-28 14:30:00,15425.0,CE,5.0,M,OP,,
NSE,D,35110,OPTIDX,0,MIDCPNIFTY-Apr2026-15425-PE,120.0,MIDCPNIFTY 28 APR 15425 PUT,2026-04-28 14:30:00,15425.0,PE,5.0,M,OP,,
NSE,D,35119,OPTIDX,0,MIDCPNIFTY-Jun2026-14525-PE,120.0,MIDCPNIFTY 30 JUN 14525 PUT,2026-06-30 14:30:00,14525.0,PE,5.0,M,OP,,
NSE,D,35120,OPTIDX,0,MIDCPNIFTY-Jun2026-14550-CE,120.0,MIDCPNIFTY 30 JUN 14550 CALL,2026-06-30 14:30:00,14550.0,CE,5.0,M,OP,,
NSE,D,35121,OPTIDX,0,MIDCPNIFTY-Jun2026-14550-PE,120.0,MIDCPNIFTY 30 JUN 14550 PUT,2026-06-30 14:30:00,14550.0,PE,5.0,M,OP,,
NSE,D,35122,OPTIDX,0,MIDCPNIFTY-Jun2026-14575-CE,120.0,MIDCPNIFTY 30 JUN 14575 CALL,2026-06-30 14:30:00,14575.0,CE,5.0,M,OP,,
NSE,D,35123,OPTIDX,0,MIDCPNIFTY-Jun2026-14575-PE,120.0,MIDCPNIFTY 30 JUN 14575 PUT,2026-06-30 14:30:00,14575.0,PE,5.0,M,OP,,
NSE,D,35124,OPTIDX,0,MIDCPNIFTY-Jun2026-14625-CE,120.0,MIDCPNIFTY 30 JUN 14625 CALL,2026-06-30 14:30:00,14625.0,CE,5.0,M,OP,,
NSE,D,35127,OPTIDX,0,MIDCPNIFTY-Jun2026-14625-PE,120.0,MIDCPNIFTY 30 JUN 14625 PUT,2026-06-30 14:30:00,14625.0,PE,5.0,M,OP,,
NSE,D,35128,OPTIDX,0,MIDCPNIFTY-Jun2026-14650-CE,120.0,MIDCPNIFTY 30 JUN 14650 CALL,2026-06-30 14:30:00,14650.0,CE,5.0,M,OP,,
NSE,D,35129,OPTIDX,0,MIDCPNIFTY-Jun2026-14650-PE,120.0,MIDCPNIFTY 30 JUN 14650 PUT,2026-06-30 14:30:00,14650.0,PE,5.0,M,OP,,
NSE,D,35130,OPTIDX,0,MIDCPNIFTY-Jun2026-14675-CE,120.0,MIDCPNIFTY 30 JUN 14675 CALL,2026-06-30 14:30:00,14675.0,CE,5.0,M,OP,,
NSE,D,35131,OPTIDX,0,MIDCPNIFTY-Jun2026-14675-PE,120.0,MIDCPNIFTY 30 JUN 14675 PUT,2026-06-30 14:30:00,14675.0,PE,5.0,M,OP,,
NSE,D,35132,OPTIDX,0,MIDCPNIFTY-Jun2026-16800-CE,120.0,MIDCPNIFTY 30 JUN 16800 CALL,2026-06-30 14:30:00,16800.0,CE,5.0,M,OP,,
NSE,D,35133,OPTIDX,0,MIDCPNIFTY-Jun2026-16800-PE,120.0,MIDCPNIFTY 30 JUN 16800 PUT,2026-06-30 14:30:00,16800.0,PE,5.0,M,OP,,
NSE,D,35134,OPTIDX,0,MIDCPNIFTY-Apr2026-15450-CE,120.0,MIDCPNIFTY 28 APR 15450 CALL,2026-04-28 14:30:00,15450.0,CE,5.0,M,OP,,
